# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions
# and other software and tools, and any partner logic
# functions, and any output files from any of the foregoing
# (including device programming or simulation files), and any
# associated documentation or information are expressly subject
# to the terms and conditions of the Intel Program License
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Standard Edition
# File: C:\FPGA\Projects\PIN-DE4_DCC_HSMB.csv
# Generated on: Wed Jan 20 10:23:14 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
LED[1],Unknown,PIN_W28,1C,B1C_N0,2.5 V,,,,,
LED[2],Unknown,PIN_R29,1A,B1A_N0,2.5 V,,,,,
LED[3],Unknown,PIN_P29,1A,B1A_N0,2.5 V,,,,,
LED[4],Unknown,PIN_N29,1A,B1A_N0,2.5 V,,,,,
LED[5],Unknown,PIN_M29,1A,B1A_N0,2.5 V,,,,,
LED[6],Unknown,PIN_M30,1A,B1A_N0,2.5 V,,,,,
LED[7],Unknown,PIN_N30,1A,B1A_N0,2.5 V,,,,,
BUTTON[0],Unknown,PIN_AH5,5C,B5C_N0,3.0-V PCI-X,,,,,
BUTTON[1],Unknown,PIN_AG5,5C,B5C_N0,3.0-V PCI-X,,,,,
BUTTON[2],Unknown,PIN_AG7,5C,B5C_N0,3.0-V PCI-X,,,,,
BUTTON[3],Unknown,PIN_AG8,5C,B5C_N0,3.0-V PCI-X,,,,,
EXT_IO,Unknown,PIN_AC11,5C,B5C_N0,3.0-V PCI-X,,,,,
CPU_RESET_n,Unknown,PIN_V34,1C,B1C_N0,2.5 V,,,,,
SW[0],Unknown,PIN_AB13,5C,B5C_N0,3.0-V PCI-X,,,,,
SW[1],Unknown,PIN_AB12,5C,B5C_N0,3.0-V PCI-X,,,,,
SW[2],Unknown,PIN_AB11,5C,B5C_N0,3.0-V PCI-X,,,,,
SW[3],Unknown,PIN_AB10,5C,B5C_N0,3.0-V PCI-X,,,,,
SW[4],Unknown,PIN_AB9,5C,B5C_N0,3.0-V PCI-X,,,,,
SW[5],Unknown,PIN_AC8,5C,B5C_N0,3.0-V PCI-X,,,,,
SW[6],Unknown,PIN_AH6,5C,B5C_N0,3.0-V PCI-X,,,,,
SW[7],Unknown,PIN_AG6,5C,B5C_N0,3.0-V PCI-X,,,,,
SLIDE_SW[0],Unknown,PIN_J7,6C,B6C_N0,2.5 V,,,,,
SLIDE_SW[1],Unknown,PIN_K7,6C,B6C_N0,2.5 V,,,,,
SLIDE_SW[2],Unknown,PIN_AK6,5C,B5C_N0,3.0-V PCI-X,,,,,
SLIDE_SW[3],Unknown,PIN_L7,6C,B6C_N0,2.5 V,,,,,
SEG0_D[0],Unknown,PIN_L34,1C,B1C_N0,2.5 V,,,,,
SEG0_D[1],Unknown,PIN_M34,1C,B1C_N0,2.5 V,,,,,
SEG0_D[2],Unknown,PIN_M33,1C,B1C_N0,2.5 V,,,,,
SEG0_D[3],Unknown,PIN_H31,1A,B1A_N0,2.5 V,,,,,
SEG0_D[4],Unknown,PIN_J33,1A,B1A_N0,2.5 V,,,,,
SEG0_D[5],Unknown,PIN_L35,1C,B1C_N0,2.5 V,,,,,
SEG0_D[6],Unknown,PIN_K32,1A,B1A_N0,2.5 V,,,,,
SEG0_DP,Unknown,PIN_AL34,2C,B2C_N0,2.5 V,,,,,
SEG1_D[0],Unknown,PIN_E31,1A,B1A_N0,2.5 V,,,,,
SEG1_D[1],Unknown,PIN_F31,1A,B1A_N0,2.5 V,,,,,
SEG1_D[2],Unknown,PIN_G31,1A,B1A_N0,2.5 V,,,,,
SEG1_D[3],Unknown,PIN_C34,1A,B1A_N0,2.5 V,,,,,
SEG1_D[4],Unknown,PIN_C33,1A,B1A_N0,2.5 V,,,,,
SEG1_D[5],Unknown,PIN_D33,1A,B1A_N0,2.5 V,,,,,
SEG1_D[6],Unknown,PIN_D34,1A,B1A_N0,2.5 V,,,,,
SEG1_DP,Unknown,PIN_AL35,2C,B2C_N0,2.5 V,,,,,
FAN_CTRL,Unknown,PIN_AP20,4C,B4C_N0,1.8 V,,,,,
CLKOUT0,Unknown,PIN_L8,6C,B6C_N0,2.5 V,,,,,
CLKIN1,Unknown,PIN_AA5,6C,B6C_N0,2.5 V,,,,,

ADA_D[13],Unknown,PIN_H10,6A,B6A_N0,2.5 V,,,,,
ADB_D[13],Unknown,PIN_D6,6A,B6A_N0,2.5 V,,,,,
ADA_D[12],Unknown,PIN_G10,6A,B6A_N0,2.5 V,,,,,
ADB_D[12],Unknown,PIN_C6,6A,B6A_N0,2.5 V,,,,,
ADA_D[11],Unknown,PIN_K9,6A,B6A_N0,2.5 V,,,,,
ADB_D[11],Unknown,PIN_D5,6A,B6A_N0,2.5 V,,,,,
ADA_D[10],Unknown,PIN_J9,6A,B6A_N0,2.5 V,,,,,
ADB_D[10],Unknown,PIN_C5,6A,B6A_N0,2.5 V,,,,,
ADA_D[9],Unknown,PIN_K10,6A,B6A_N0,2.5 V,,,,,
ADB_D[9],Unknown,PIN_D10,6A,B6A_N0,2.5 V,,,,,
ADA_D[8],Unknown,PIN_J10,6A,B6A_N0,2.5 V,,,,,
ADB_D[8],Unknown,PIN_C10,6A,B6A_N0,2.5 V,,,,,
ADA_D[7],Unknown,PIN_N11,6A,B6A_N0,2.5 V,,,,,
ADB_D[7],Unknown,PIN_D9,6A,B6A_N0,2.5 V,,,,,
ADA_D[6],Unknown,PIN_N10,6A,B6A_N0,2.5 V,,,,,
ADB_D[6],Unknown,PIN_C9,6A,B6A_N0,2.5 V,,,,,
ADA_D[5],Unknown,PIN_N12,6A,B6A_N0,2.5 V,,,,,
ADB_D[5],Unknown,PIN_D8,6A,B6A_N0,2.5 V,,,,,
ADA_D[4],Unknown,PIN_M12,6A,B6A_N0,2.5 V,,,,,
ADB_D[4],Unknown,PIN_C8,6A,B6A_N0,2.5 V,,,,,
ADA_D[3],Unknown,PIN_R12,6A,B6A_N0,2.5 V,,,,,
ADB_D[3],Unknown,PIN_D7,6A,B6A_N0,2.5 V,,,,,
ADA_D[2],Unknown,PIN_R11,6A,B6A_N0,2.5 V,,,,,
ADB_D[2],Unknown,PIN_C7,6A,B6A_N0,2.5 V,,,,,
ADA_D[1],Unknown,PIN_T13,6A,B6A_N0,2.5 V,,,,,
ADB_D[1],Unknown,PIN_F10,6A,B6A_N0,2.5 V,,,,,
ADA_D[0],Unknown,PIN_T12,6A,B6A_N0,2.5 V,,,,,
ADB_D[0],Unknown,PIN_E10,6A,B6A_N0,2.5 V,,,,,

ADA_OR,Unknown,PIN_R13,6A,B6A_N0,2.5 V,,,,,
ADB_OR,Unknown,PIN_G5,6A,B6A_N0,2.5 V,,,,,
ADA_OE,Unknown,PIN_P13,6A,B6A_N0,2.5 V,,,,,
ADB_OE,Unknown,PIN_F5,6A,B6A_N0,2.5 V,,,,,
ADA_SPI_CS,Unknown,PIN_H7,6A,B6A_N0,2.5 V,,,,,
ADB_SPI_CS,Unknown,PIN_G6,6A,B6A_N0,2.5 V,,,,,
AD_SDIO,Unknown,PIN_G7,6A,B6A_N0,2.5 V,,,,,
AD_SCLK,Unknown,PIN_F6,6A,B6A_N0,2.5 V,,,,,
FPGA_CLK_A_P,Unknown,PIN_K8,6A,B6A_N0,2.5 V,,,,,
XT_IN_P,Unknown,PIN_W34,1C,B1C_N0,2.5 V,,,,,
FPGA_CLK_A_N,Unknown,PIN_J8,6A,B6A_N0,2.5 V,,,,,
XT_IN_N,Unknown,PIN_W35,1C,B1C_N0,2.5 V,,,,,

DA[13],Unknown,PIN_M10,6A,B6A_N0,2.5 V,,,,,
DB[13],Unknown,PIN_F7,6A,B6A_N0,2.5 V,,,,,
DA[12],Unknown,PIN_L10,6A,B6A_N0,2.5 V,,,,,
DB[12],Unknown,PIN_E7,6A,B6A_N0,2.5 V,,,,,
DA[11],Unknown,PIN_M8,6C,B6C_N0,2.5 V,,,,,
DB[11],Unknown,PIN_G8,6A,B6A_N0,2.5 V,,,,,
DA[10],Unknown,PIN_M7,6C,B6C_N0,2.5 V,,,,,
DB[10],Unknown,PIN_F8,6A,B6A_N0,2.5 V,,,,,
DA[9],Unknown,PIN_M11,6A,B6A_N0,2.5 V,,,,,
DB[9],Unknown,PIN_G9,6A,B6A_N0,2.5 V,,,,,
DA[8],Unknown,PIN_L11,6A,B6A_N0,2.5 V,,,,,
DB[8],Unknown,PIN_F9,6A,B6A_N0,2.5 V,,,,,
DA[7],Unknown,PIN_N9,6C,B6C_N0,2.5 V,,,,,
DB[7],Unknown,PIN_N6,6C,B6C_N0,2.5 V,,,,,
DA[6],Unknown,PIN_P8,6C,B6C_N0,2.5 V,,,,,
DB[6],Unknown,PIN_N5,6C,B6C_N0,2.5 V,,,,,
DA[5],Unknown,PIN_R9,6C,B6C_N0,2.5 V,,,,,
DB[5],Unknown,PIN_M6,6C,B6C_N0,2.5 V,,,,,
DA[4],Unknown,PIN_R8,6C,B6C_N0,2.5 V,,,,,
DB[4],Unknown,PIN_L5,6C,B6C_N0,2.5 V,,,,,
DA[3],Unknown,PIN_U10,6C,B6C_N0,2.5 V,,,,,
DB[3],Unknown,PIN_R6,6C,B6C_N0,2.5 V,,,,,
DA[2],Unknown,PIN_T9,6C,B6C_N0,2.5 V,,,,,
DB[2],Unknown,PIN_R5,6C,B6C_N0,2.5 V,,,,,
DA[1],Unknown,PIN_V10,6C,B6C_N0,2.5 V,,,,,
DB[1],Unknown,PIN_R7,6C,B6C_N0,2.5 V,,,,,
DA[0],Unknown,PIN_V9,6C,B6C_N0,2.5 V,,,,,
DB[0],Unknown,PIN_P6,6C,B6C_N0,2.5 V,,,,,

AIC_DIN,Unknown,PIN_T10,6C,B6C_N0,2.5 V,,,,,
AIC_DOUT,Unknown,PIN_V6,6C,B6C_N0,2.5 V,,,,,
AIC_LRCIN,Unknown,PIN_R10,6C,B6C_N0,2.5 V,,,,,
AIC_LRCOUT,Unknown,PIN_U5,6C,B6C_N0,2.5 V,,,,,
AIC_BCLK,Unknown,PIN_V12,6C,B6C_N0,2.5 V,,,,,
AIC_XCLK,Unknown,PIN_W8,6C,B6C_N0,2.5 V,,,,,
AIC_SPI_CS,Unknown,PIN_V11,6C,B6C_N0,2.5 V,,,,,
J1_152,Unknown,PIN_W7,6C,B6C_N0,2.5 V,,,,,
FPGA_CLK_B_P,Unknown,PIN_W12,6C,B6C_N0,2.5 V,,,,,
ADA_DCO,Unknown,PIN_W6,6C,B6C_N0,2.5 V,,,,,
FPGA_CLK_B_N,Unknown,PIN_W11,6C,B6C_N0,2.5 V,,,,,
ADB_DCO,Unknown,PIN_W5,6C,B6C_N0,2.5 V,,,,,
HSMC_SCL,Unknown,PIN_L19,7C,B7C_N0,1.8 V,,,,,
HSMC_SDA,Unknown,PIN_M19,7C,B7C_N0,1.8 V,,,,,
