# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Standard Edition
# File: C:\FPGA\Projects\DE4_DCC_HSMA.csv
# Generated on: Mon Jan 18 12:45:16 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
DA[0],Output,PIN_AH30,2A,B2A_N0,PIN_AH30,2.5 V,,,,,
DB[13],Output,PIN_AP32,2A,B2A_N0,PIN_AP32,2.5 V,,,,,
DB[12],Output,PIN_AR32,2A,B2A_N0,PIN_AR32,2.5 V,,,,,
DB[11],Output,PIN_AR31,2A,B2A_N0,PIN_AR31,2.5 V,,,,,
DB[10],Output,PIN_AT30,2A,B2A_N0,PIN_AT30,2.5 V,,,,,
DB[9],Output,PIN_AT33,2A,B2A_N0,PIN_AT33,2.5 V,,,,,
DB[8],Output,PIN_AU33,2A,B2A_N0,PIN_AU33,2.5 V,,,,,
DB[7],Output,PIN_AU34,2A,B2A_N0,PIN_AU34,2.5 V,,,,,
DB[6],Output,PIN_AV34,2A,B2A_N0,PIN_AV34,2.5 V,,,,,
DB[5],Output,PIN_AT32,2A,B2A_N0,PIN_AT32,2.5 V,,,,,
DB[4],Output,PIN_AU32,2A,B2A_N0,PIN_AU32,2.5 V,,,,,
DB[3],Output,PIN_AT31,2A,B2A_N0,PIN_AT31,2.5 V,,,,,
DB[2],Output,PIN_AU31,2A,B2A_N0,PIN_AU31,2.5 V,,,,,
DB[1],Output,PIN_AP35,2A,B2A_N0,PIN_AP35,2.5 V,,,,,
DB[0],Output,PIN_AR35,2A,B2A_N0,PIN_AR35,2.5 V,,,,,
EXT_IO,Bidir,PIN_AC11,5C,B5C_N0,PIN_AC11,3.0-V PCI-X,,,,,
FAN_CTRL,Output,PIN_AP20,4C,B4C_N0,PIN_AP20,1.8 V,,,,,
FPGA_CLK_A_N,Bidir,PIN_AH28,2A,B2A_N0,PIN_AH28,2.5 V,,,,,
FPGA_CLK_A_P,Bidir,PIN_AG28,2A,B2A_N0,PIN_AG28,2.5 V,,,,,
FPGA_CLK_B_N,Bidir,PIN_AG35,2C,B2C_N0,PIN_AG35,2.5 V,,,,,
FPGA_CLK_B_P,Bidir,PIN_AG34,2C,B2C_N0,PIN_AG34,2.5 V,,,,,
GCLKIN,Input,PIN_A21,7C,B7C_N0,PIN_A21,1.8 V,,,,,
GCLKOUT_FPGA,Output,PIN_AH19,4C,B4C_N0,PIN_AH19,1.8 V,,,,,
HSMC_SCL,Output,PIN_L19,7C,B7C_N0,PIN_L19,1.8 V,,,,,
HSMC_SDA,Bidir,PIN_M19,7C,B7C_N0,PIN_M19,1.8 V,,,,,
J1_152,Bidir,PIN_AR34,2A,B2A_N0,PIN_AR34,2.5 V,,,,,
LED[7],Output,PIN_N30,1A,B1A_N0,PIN_N30,2.5 V,,,,,
LED[6],Output,PIN_M30,1A,B1A_N0,PIN_M30,2.5 V,,,,,
LED[5],Output,PIN_M29,1A,B1A_N0,PIN_M29,2.5 V,,,,,
LED[4],Output,PIN_N29,1A,B1A_N0,PIN_N29,2.5 V,,,,,
LED[3],Output,PIN_P29,1A,B1A_N0,PIN_P29,2.5 V,,,,,
LED[2],Output,PIN_R29,1A,B1A_N0,PIN_R29,2.5 V,,,,,
LED[1],Output,PIN_W28,1C,B1C_N0,PIN_W28,2.5 V,,,,,
LED[0],Output,PIN_V28,1C,B1C_N0,PIN_V28,2.5 V,,,,,
OSC_50_BANK2,Input,PIN_AC35,2C,B2C_N0,PIN_AC35,2.5 V,,,,,
OSC_50_BANK3,Input,PIN_AV22,3C,B3C_N0,PIN_AV22,1.8 V,,,,,
OSC_50_BANK4,Input,PIN_AV19,4C,B4C_N0,PIN_AV19,1.8 V,,,,,
OSC_50_BANK5,Input,PIN_AC6,5C,B5C_N0,PIN_AC6,3.0-V PCI-X,,,,,
OSC_50_BANK6,Input,PIN_AB6,6C,B6C_N0,PIN_AB6,2.5 V,,,,,
OSC_50_BANK7,Input,PIN_A19,7C,B7C_N0,PIN_A19,1.8 V,,,,,
PLL_CLKIN_p,Input,PIN_B22,8C,B8C_N0,PIN_B22,LVDS,,,,PLL_CLKIN_p(n),
PLL_CLKIN_p(n),Input,,8C,B8C_N0,PIN_A22,LVDS,,,,PLL_CLKIN_p,
SEG0_D[6],Output,PIN_K32,1A,B1A_N0,PIN_K32,2.5 V,,,,,
SEG0_D[5],Output,PIN_L35,1C,B1C_N0,PIN_L35,2.5 V,,,,,
SEG0_D[4],Output,PIN_J33,1A,B1A_N0,PIN_J33,2.5 V,,,,,
SEG0_D[3],Output,PIN_H31,1A,B1A_N0,PIN_H31,2.5 V,,,,,
SEG0_D[2],Output,PIN_M33,1C,B1C_N0,PIN_M33,2.5 V,,,,,
SEG0_D[1],Output,PIN_M34,1C,B1C_N0,PIN_M34,2.5 V,,,,,
SEG0_D[0],Output,PIN_L34,1C,B1C_N0,PIN_L34,2.5 V,,,,,
SEG0_DP,Output,PIN_AL34,2C,B2C_N0,PIN_AL34,2.5 V,,,,,
SEG1_D[6],Output,PIN_D34,1A,B1A_N0,PIN_D34,2.5 V,,,,,
SEG1_D[5],Output,PIN_D33,1A,B1A_N0,PIN_D33,2.5 V,,,,,
SEG1_D[4],Output,PIN_C33,1A,B1A_N0,PIN_C33,2.5 V,,,,,
SEG1_D[3],Output,PIN_C34,1A,B1A_N0,PIN_C34,2.5 V,,,,,
SEG1_D[2],Output,PIN_G31,1A,B1A_N0,PIN_G31,2.5 V,,,,,
SEG1_D[1],Output,PIN_F31,1A,B1A_N0,PIN_F31,2.5 V,,,,,
SEG1_D[0],Output,PIN_E31,1A,B1A_N0,PIN_E31,2.5 V,,,,,
SEG1_DP,Output,PIN_AL35,2C,B2C_N0,PIN_AL35,2.5 V,,,,,
SLIDE_SW[3],Input,PIN_L7,6C,B6C_N0,PIN_L7,2.5 V,,,,,
SLIDE_SW[2],Input,PIN_AK6,5C,B5C_N0,PIN_AK6,3.0-V PCI-X,,,,,
SLIDE_SW[1],Input,PIN_K7,6C,B6C_N0,PIN_K7,2.5 V,,,,,
SLIDE_SW[0],Input,PIN_J7,6C,B6C_N0,PIN_J7,2.5 V,,,,,
SW[7],Input,PIN_AG6,5C,B5C_N0,PIN_AG6,3.0-V PCI-X,,,,,
SW[6],Input,PIN_AH6,5C,B5C_N0,PIN_AH6,3.0-V PCI-X,,,,,
SW[5],Input,PIN_AC8,5C,B5C_N0,PIN_AC8,3.0-V PCI-X,,,,,
SW[4],Input,PIN_AB9,5C,B5C_N0,PIN_AB9,3.0-V PCI-X,,,,,
SW[3],Input,PIN_AB10,5C,B5C_N0,PIN_AB10,3.0-V PCI-X,,,,,
SW[2],Input,PIN_AB11,5C,B5C_N0,PIN_AB11,3.0-V PCI-X,,,,,
SW[1],Input,PIN_AB12,5C,B5C_N0,PIN_AB12,3.0-V PCI-X,,,,,
SW[0],Input,PIN_AB13,5C,B5C_N0,PIN_AB13,3.0-V PCI-X,,,,,
XT_IN_N,Input,PIN_AA35,1C,B1C_N0,PIN_AA35,2.5 V,,,,,
XT_IN_P,Input,PIN_AB34,1C,B1C_N0,PIN_AB34,2.5 V,,,,,
altera_reserved_ntrst,Input,,,,PIN_A32,,,,,,
altera_reserved_tck,Input,,,,PIN_G30,,,,,,
altera_reserved_tdi,Input,,,,PIN_J29,,,,,,
altera_reserved_tdo,Output,,,,PIN_F30,,,,,,
altera_reserved_tms,Input,,,,PIN_N27,,,,,,
termination_blk0~_rup_pad,Unknown,PIN_AF25,3A,B3A_N0,,1.8 V,,,,,
termination_blk0~_rdn_pad,Unknown,PIN_AG25,3A,B3A_N0,,,,,,,
termination_blk0~_run_pad,Unknown,,,,,1.8 V,,,,,
