
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADA_SPI_CS    , Output , PIN_H7      ,,,,,,,,,
ADA_DCO       , Input  , PIN_W6      ,,,,,,,,,
ADB_OR        , Input  , PIN_G5      ,,,,,,,,,
ADB_OE        , Output , PIN_F5      ,,,,,,,,,
ADB_SPI_CS    , Output , PIN_G6      ,,,,,,,,,
ADB_DCO       , Input  , PIN_W5      ,,,,,,,,,
AD_SCLK       , Output , PIN_F6      ,,,,,,,,,
AD_SDIO       , Output , PIN_G7      ,,,,,,,,,

FPGA_CLK_A_N  , Bidir , PIN_J8       ,,,,,,,,,
FPGA_CLK_A_P  , Bidir , PIN_K8       ,,,,,,,,,
FPGA_CLK_B_N  , Bidir , PIN_W11      ,,,,,,,,,
FPGA_CLK_B_P  , Bidir , PIN_W12      ,,,,,,,,,

Q[0]          , Output , PIN_AW5       ,,,,,,,,,
Q[1]          , Output , PIN_AW4       ,,,,,,,,,
Q[2]          , Output , PIN_AV8       ,,,,,,,,,
Q[3]          , Output , PIN_AU10      ,,,,,,,,,

SW[0]         , Input  , PIN_J7      ,,,,,,,,,
SW[1]         , Input  , PIN_K7      ,,,,,,,,,
SW[2]         , Input  , PIN_AK6     ,,,,,,,,,
SW[3]         , Input  , PIN_L7      ,,,,,,,,,

LED[0]        , Output , PIN_V28      ,,,,,,,,,
LED[1]        , Output , PIN_W28      ,,,,,,,,,
LED[2]        , Output , PIN_R29      ,,,,,,,,,
LED[3]        , Output , PIN_P29      ,,,,,,,,,
LED[4]        , Output , PIN_N29      ,,,,,,,,,
LED[5]        , Output , PIN_M29      ,,,,,,,,,
LED[6]        , Output , PIN_M30      ,,,,,,,,,
LED[7]        , Output , PIN_N30      ,,,,,,,,,


DA[13]   , Unknown , PIN_M10      ,,,,,,,,,
DB[13]   , Unknown , PIN_F7       ,,,,,,,,,
DA[12]   , Unknown , PIN_L10      ,,,,,,,,,
DB[12]   , Unknown , PIN_E7       ,,,,,,,,,
DA[11]   , Unknown , PIN_M8       ,,,,,,,,,
DB[11]   , Unknown , PIN_G8       ,,,,,,,,,
DA[10]   , Unknown , PIN_M7       ,,,,,,,,,
DB[10]   , Unknown , PIN_F8       ,,,,,,,,,
DA[9]    , Unknown , PIN_M11      ,,,,,,,,,
DB[9]    , Unknown , PIN_G9       ,,,,,,,,,
DA[8]    , Unknown , PIN_L11      ,,,,,,,,,
DB[8]    , Unknown , PIN_F9       ,,,,,,,,,
DA[7]    , Unknown , PIN_N9       ,,,,,,,,,
DB[7]    , Unknown , PIN_N6       ,,,,,,,,,
DA[6]    , Unknown , PIN_P8       ,,,,,,,,,
DB[6]    , Unknown , PIN_N5       ,,,,,,,,,
DA[5]    , Unknown , PIN_R9       ,,,,,,,,,
DB[5]    , Unknown , PIN_M6       ,,,,,,,,,
DA[4]    , Unknown , PIN_R8       ,,,,,,,,,
DB[4]    , Unknown , PIN_L5       ,,,,,,,,,
DA[3]    , Unknown , PIN_U10      ,,,,,,,,,
DB[3]    , Unknown , PIN_R6       ,,,,,,,,,
DA[2]    , Unknown , PIN_T9       ,,,,,,,,,
DB[2]    , Unknown , PIN_R5       ,,,,,,,,,
DA[1]    , Unknown , PIN_V10      ,,,,,,,,,
DB[1]    , Unknown , PIN_R7       ,,,,,,,,,
DA[0]    , Unknown , PIN_V9       ,,,,,,,,,
DB[0]    , Unknown , PIN_P6       ,,,,,,,,,


OUT[3]       , Output , PIN_AC26      ,,,,,,,,,
OUT[4]       , Output , PIN_AC31      ,,,,,,,,,
OUT[5]       , Output , PIN_AD26      ,,,,,,,,,
OUT[6]       , Output , PIN_AC32      ,,,,,,,,,
OUT[7]       , Output , PIN_AB27      ,,,,,,,,,
OUT[8]       , Output , PIN_AJ32      ,,,,,,,,,
OUT[9]       , Output , PIN_AB28      ,,,,,,,,,
OUT[10]      , Output , PIN_AK33      ,,,,,,,,,
OUT[11]      , Output , PIN_AB30      ,,,,,,,,,
OUT[12]      , Output , PIN_AH34      ,,,,,,,,,
OUT[13]      , Output , PIN_AB31      ,,,,,,,,,
OUT[14]      , Output , PIN_AH35      ,,,,,,,,,
OUT[15]      , Output , PIN_AD27      ,,,,,,,,,
OUT[16]      , Output , PIN_AJ34      ,,,,,,,,,
OUT[17]      , Output , PIN_AE27      ,,,,,,,,,
OUT[18]      , Output , PIN_AJ35      ,,,,,,,,,
OUT[19]      , Input  , PIN_AD28      ,,,,,,,,,
OUT[20]      , Output , PIN_AK34      ,,,,,,,,,
OUT[21]      , Output , PIN_AD29      ,,,,,,,,,
OUT[22]      , Output , PIN_AK35      ,,,,,,,,,
OUT[23]      , Output , PIN_AE28      ,,,,,,,,,
OUT[24]      , Output , PIN_AN30      ,,,,,,,,,
OUT[25]      , Output , PIN_AE29      ,,,,,,,,,
OUT[26]      , Output , PIN_AP30      ,,,,,,,,,
OUT[27]      , Output , PIN_AE26      ,,,,,,,,,
OUT[28]      , Output , PIN_AM34      ,,,,,,,,,
OUT[29]      , Output , PIN_AF26      ,,,,,,,,,
OUT[30]      , Output , PIN_AM35      ,,,,,,,,,
OUT[31]      , Output , PIN_AG31      ,,,,,,,,,
OUT[32]      , Output , PIN_AM31      ,,,,,,,,,
OUT[33]      , Output , PIN_AG32      ,,,,,,,,,
OUT[34]      , Output , PIN_AN31      ,,,,,,,,,
OUT[35]      , Output , PIN_AG29      ,,,,,,,,,
OUT[36]      , Output , PIN_AN33      ,,,,,,,,,
OUT[37]      , Output , PIN_AH29      ,,,,,,,,,
OUT[38]      , Output , PIN_AP34      ,,,,,,,,,

